code,date,gap_rate,rise_2to1,rise_1to0,target_price,stop_price,reached,stopped,days_to_reach,min_low_pct,ma_arr,total_range,prev_range,high_pt,low_pt,cond1_hit,cond2_hit,cond3_hit,strategy_full
012800,20260106,2.77,2.14,9.57,1583,1235,True,False,1.0,2.04,MA5>MA120>MA60>MA20>MA40,154,50,1516,1315,False,False,False,False
013360,20251204,3.38,11.12,29.95,2915,1008,False,False,,30.24,MA120>MA5>MA60>MA40>MA20,583,310,2193,1448,False,False,False,False
013360,20251205,13.12,29.95,16.83,3216,1147,False,False,,-8.4,MA5>MA120>MA20>MA60>MA40,702,421,2621,1327,False,False,False,False
013360,20251208,4.77,16.83,5.23,3520,2038,False,True,,-12.8,MA5>MA120>MA20>MA60>MA40,185,355,2670,2635,True,True,False,False
013580,20260203,2.08,0.23,5.08,26000,20875,True,False,7.0,-2.71,MA5>MA20>MA40>MA60>MA120,1250,1000,23750,22350,False,False,False,False
014280,20251017,3.39,0.6,29.88,7865,4180,True,False,1.0,23.51,MA5>MA20>MA40>MA60>MA120,1560,395,6915,5265,False,False,False,False
014280,20251124,3.75,3.89,5.11,7550,5315,True,False,14.0,-3.94,MA5>MA20>MA40>MA60>MA120,570,480,6650,5810,False,False,False,False
014790,20251027,4.76,0.87,10.17,2575,2162,True,False,3.0,-1.45,MA120>MA60>MA40>MA5>MA20,255,45,2590,2205,False,False,False,False
016610,20260123,2.08,1.76,3.98,13420,11150,True,False,5.0,-0.34,MA5>MA20>MA40>MA60>MA120,580,470,12490,11650,False,False,False,False
017040,20251023,4.05,13.66,19.23,2574,1054,False,False,,-16.9,MA120>MA5>MA20>MA40>MA60,455,271,2007,1371,True,False,False,False
017040,20260113,6.25,8.74,9.23,1728,1120,False,False,,-6.51,MA60>MA5>MA40>MA120>MA20,232,113,1581,1174,False,False,False,False
017940,20260126,2.68,4.88,3.03,99200,80100,True,False,8.0,-6.01,MA5>MA40>MA60>MA20>MA120,5600,4200,92700,82400,False,False,False,False
018500,20251016,2.85,1.73,4.24,1389,1236,True,False,3.0,-1.42,MA120>MA60>MA40>MA20>MA5,77,24,1376,1245,False,False,False,False
018880,20251016,3.61,2.44,8.08,3367,2717,True,False,1.0,1.55,MA40>MA60>MA120>MA20>MA5,302,92,3262,2816,False,False,False,False
018880,20260122,2.46,0.62,4.62,3880,3025,True,False,9.0,-4.5,MA60>MA120>MA40>MA5>MA20,250,170,3570,3190,False,False,False,False
018880,20260204,3.83,5.94,9.88,4205,3088,True,False,1.0,10.37,MA60>MA5>MA120>MA40>MA20,425,190,3915,3340,False,False,False,False
019180,20260114,6.34,18.12,6.81,13150,6410,False,False,,-26.25,MA5>MA20>MA40>MA60>MA120,1900,1480,10740,7190,True,False,False,False
020150,20260114,4.55,2.84,10.57,37050,28000,True,False,6.0,0.0,MA40>MA60>MA20>MA5>MA120,4000,1450,35450,29850,False,False,False,False
020150,20260122,2.39,-2.34,26.61,45850,28325,True,False,9.0,6.57,MA5>MA40>MA60>MA20>MA120,9350,1400,43750,33300,False,False,False,False
023590,20260128,3.19,6.82,9.36,62350,40675,False,False,,-10.31,MA5>MA20>MA40>MA60>MA120,7150,3950,55350,44950,False,False,False,False
028050,20260126,2.96,8.65,6.85,40200,23075,False,False,,3.6,MA120>MA5>MA60>MA40>MA20,3850,3550,32400,25850,False,False,False,False
029530,20260202,6.36,-0.63,13.56,54700,43550,True,False,1.0,0.4,MA5>MA40>MA60>MA20>MA120,6700,1150,54750,45050,False,False,False,False
031440,20251211,2.51,0.66,7.27,42650,36100,True,False,2.0,1.16,MA20>MA120>MA60>MA40>MA5,3000,950,41550,38250,False,False,False,False
032350,20260205,3.8,2.46,5.4,29650,23950,False,True,,-7.71,MA5>MA20>MA40>MA60>MA120,1600,1150,27500,25500,False,False,False,False
032640,20251105,2.27,-0.34,2.89,15970,14205,True,False,3.0,-0.27,MA20>MA40>MA60>MA5>MA120,510,380,15350,14610,False,False,False,False
033240,20251103,2.07,3.58,5.3,26900,20525,False,True,,-7.67,MA20>MA5>MA40>MA60>MA120,1550,1300,24150,22200,True,True,False,False
033240,20251210,3.73,1.57,9.95,24770,18770,True,False,1.0,4.32,MA60>MA40>MA5>MA120>MA20,2220,990,23090,19900,False,False,False,False
033530,20251021,10.4,29.98,17.2,13470,4335,False,False,,-8.57,MA5>MA20>MA40>MA60>MA120,2970,1820,10610,5260,False,False,False,False
034020,20251029,4.98,5.49,11.57,104800,77200,False,True,,-16.43,MA5>MA20>MA40>MA60>MA120,12800,4200,100600,81300,False,False,False,False
034120,20251114,2.67,0.61,3.68,20830,19200,False,True,,-5.9,MA120>MA60>MA40>MA5>MA20,900,270,20820,19620,False,False,False,False
034230,20260204,2.48,6.49,8.09,22170,16810,False,True,,-18.46,MA120>MA5>MA20>MA40>MA60,2160,850,20900,17690,False,False,False,False
036570,20251124,3.5,2.3,5.85,251000,168750,False,False,,-3.48,MA20>MA40>MA60>MA120>MA5,22500,17600,220100,179700,False,False,False,False
036580,20260126,2.19,3.07,16.7,3350,2192,True,False,7.0,5.64,MA120>MA5>MA40>MA60>MA20,495,140,3075,2455,False,False,False,False
036580,20260204,10.0,4.99,30.0,4845,2390,True,False,1.0,14.9,MA5>MA20>MA120>MA40>MA60,1050,355,4320,2925,False,False,False,False
